step,time_s,posX_m,posY_m,posZ_m,velX_mps,velY_mps,velZ_mps,speed_mps,horizSpeed_mps,thrust_N,thrust_kN,mass_kg,fuel_kg,twr,tilt_deg,pitchRate_dps,yawRate_dps,gimbalX_deg,gimbalZ_deg,miss_m,controlMode
123,6.1501,-0.641,1300.526,0.000,-0.052,-45.620,0.000,45.620,0.052,388310.8,388.31,38723.26,13123.26,1.023,0.071,0.001,0.230,-0.025,0.061,0.641,Hybrid
124,6.2001,-0.643,1298.246,0.000,-0.051,-45.599,0.000,45.599,0.051,387995.4,388.00,38716.89,13116.89,1.022,0.059,-0.002,0.235,-0.020,0.049,0.643,Hybrid
125,6.2501,-0.646,1295.966,0.000,-0.050,-45.578,0.000,45.578,0.050,387688.7,387.69,38710.54,13110.54,1.022,0.048,-0.001,0.238,0.017,0.036,0.646,Hybrid
126,6.3001,-0.648,1293.688,0.000,-0.050,-45.557,0.000,45.557,0.050,387386.7,387.39,38704.18,13104.18,1.021,0.034,0.001,0.239,0.011,0.023,0.648,Hybrid
127,6.3501,-0.651,1291.411,0.000,-0.049,-45.537,0.000,45.537,0.049,387090.8,387.09,38697.84,13097.84,1.020,0.020,0.002,0.239,0.009,0.013,0.651,Hybrid
128,6.4001,-0.653,1289.134,0.000,-0.049,-45.517,0.000,45.517,0.049,386795.0,386.80,38691.49,13091.49,1.020,0.000,0.001,0.237,0.000,-0.004,0.653,Hybrid
129,6.4501,-0.656,1286.859,0.000,-0.049,-45.497,0.000,45.497,0.049,386509.4,386.51,38685.16,13085.15,1.019,0.000,0.001,0.234,0.000,-0.012,0.656,Hybrid
130,6.5001,-0.658,1284.584,0.000,-0.049,-45.478,0.000,45.478,0.049,386228.1,386.23,38678.82,13078.82,1.019,0.000,0.002,0.230,0.000,-0.020,0.658,Hybrid
131,6.5501,-0.661,1282.311,0.000,-0.050,-45.459,0.000,45.459,0.050,385954.9,385.95,38672.49,13072.49,1.018,0.020,0.001,0.222,-0.007,-0.103,0.661,Hybrid
132,6.6001,-0.663,1280.039,0.000,-0.051,-45.440,0.000,45.440,0.051,385683.4,385.68,38666.16,13066.16,1.018,0.028,0.000,0.207,-0.010,-0.108,0.663,Hybrid
133,6.6501,-0.666,1277.767,0.000,-0.052,-45.421,0.000,45.421,0.052,385416.8,385.42,38659.84,13059.85,1.017,0.040,-0.001,0.192,-0.013,-0.113,0.666,Hybrid
